rank,indicators,n_indicators,n_trades,win_rate_blind,avg_return_blind,median_return_blind,win_rate_trail,avg_return_trail,median_return_trail,std_return_trail
367,RSI_50_70 & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,8,63,26.984126984126984,-0.6876591312338235,-1.0618363522798357,58.730158730158735,0.1421925999091084,0.08264124826980374,0.3865319608006146
368,Stoch_bull & VolRatio_gt1.2,2,1542,48.44357976653696,-0.0042669565253870825,-0.05984068510558488,53.76134889753567,0.1421682986302651,0.02856506521688652,0.4609899612662842
369,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & ROC10_pos,6,71,43.66197183098591,-0.08323880047733452,-0.21617931505290444,56.33802816901409,0.14212621486457697,0.04182857142856327,0.3999692880270104
370,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50,6,72,41.66666666666667,-0.151989745555798,-0.21101174997734226,55.55555555555556,0.14199109007212776,0.04510750256937322,0.414425821328904
371,RSI_50_70 & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2,4,104,33.65384615384615,-0.6642073449202874,-0.7914201183431995,59.61538461538461,0.14174647910650634,0.068050379191104,0.3835421710916802
372,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & VolRatio_gt1.2 & CCI_gt100,5,510,49.6078431372549,-0.028069373871720555,-0.010198386512318199,52.94117647058824,0.14112764589036647,0.015872013990396006,0.49307818538678133
373,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50,6,510,49.6078431372549,-0.028069373871720555,-0.010198386512318199,52.94117647058824,0.14112764589036647,0.015872013990396006,0.49307818538678133
374,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50,7,65,41.53846153846154,-0.10681348231694443,-0.21617931505290444,56.92307692307692,0.141087226473089,0.04838643371018317,0.39460285207934065
375,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100,5,72,43.05555555555556,-0.0849375649962274,-0.21101174997734226,56.94444444444444,0.14082427345965484,0.04510750256937322,0.3973334859090116
376,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & VolRatio_gt1.2 & CCI_gt100 & ROC10_pos,6,508,49.60629921259843,-0.030637954597858643,-0.010198386512318199,52.75590551181102,0.14072525598826266,0.01334249553898028,0.493855000097109
377,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,7,508,49.60629921259843,-0.030637954597858643,-0.010198386512318199,52.75590551181102,0.14072525598826266,0.01334249553898028,0.493855000097109
378,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2,4,38,36.84210526315789,-0.3315981160408086,-1.3040745507118536,55.26315789473685,0.1403796892190815,0.0694210291323426,0.39101779566094874
379,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & ROC10_pos,5,38,36.84210526315789,-0.3315981160408086,-1.3040745507118536,55.26315789473685,0.1403796892190815,0.0694210291323426,0.39101779566094874
380,MACD_bull & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & EMA9_gt_EMA21 & ROC10_pos,6,74,29.72972972972973,-0.5310628878714464,-0.9636145882400149,59.45945945945946,0.14009836802432693,0.05388251932693106,0.3946699120806051
381,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,8,62,46.774193548387096,0.08012506758155129,-0.11302412295902016,59.67741935483871,0.13980268023782977,0.06563476465534901,0.3819463060824507
382,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & CCI_gt100,5,214,49.06542056074766,-0.061392953950263125,-0.013808067642618842,50.467289719626166,0.13950410690990378,0.0019660636648236455,0.5000668677576691
383,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50,6,214,49.06542056074766,-0.061392953950263125,-0.013808067642618842,50.467289719626166,0.13950410690990378,0.0019660636648236455,0.5000668677576691
384,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & CCI_gt100 & ROC10_pos,6,214,49.06542056074766,-0.061392953950263125,-0.013808067642618842,50.467289719626166,0.13950410690990378,0.0019660636648236455,0.5000668677576691
