alert_id,fired_at,session_date,ticker,signal_type,price,pct_b,rsi,vol_ratio,adx,dist_52w_high,tier,checked_at
1238,2026-08-28T19:21:36.950620+00:00,2026-08-28,JNJ,BREAKOUT,267.1,62.1,55.0,0.45,21.710598995179062,-2.298746782461049,PREFER-HIGH,2026-08-28T19:26:53.546976+00:00
1239,2026-08-31T13:35:27.795762+00:00,2026-08-31,OXY,BREAKOUT,60.52,74.7,60.6,0.09,19.024814230677293,-8.650361906745161,PREFER-HIGH,2026-08-31T13:41:53.780887+00:00
1240,2026-08-31T13:35:35.095494+00:00,2026-08-31,COP,BREAKOUT,133.15,74.9,66.2,0.06,26.550202498324822,-1.1046078285314358,PREFER-HIGH,2026-08-31T13:41:53.931312+00:00
1241,2026-08-31T13:50:19.711453+00:00,2026-08-31,CRWD,BREAKOUT,230.23,84.9,62.7,1.0,25.770748253733824,0.0,PREFER-HIGH,2026-08-31T13:56:54.427389+00:00
1242,2026-08-31T13:50:27.342944+00:00,2026-08-31,TSLA,BREAKOUT,359.23,87.5,55.5,0.49,19.909749526447047,-26.548785140254523,PREFER-HIGH,2026-08-31T13:56:54.521019+00:00
1243,2026-08-31T13:50:34.772590+00:00,2026-08-31,ZS,BREAKOUT,189.71,84.4,63.4,0.3,27.368668833875194,-43.870996138905035,PREFER-HIGH,2026-08-31T13:56:54.592106+00:00
1244,2026-08-31T13:50:42.077728+00:00,2026-08-31,XLE,BREAKOUT,64.17,80.5,68.4,0.54,25.96967356006603,0.0,PREFER-HIGH,2026-08-31T13:56:54.707526+00:00
1245,2026-08-31T14:02:28.073940+00:00,2026-08-31,DE,BREAKOUT,648.26,90.3,60.0,0.33,18.285300140247507,-2.40676543240814,PREFER-HIGH,2026-08-31T14:11:54.868041+00:00
1246,2026-08-31T14:20:18.774618+00:00,2026-08-31,SLB,BREAKOUT,59.42,119.3,75.4,1.81,27.55175165844868,0.0,PREFER-HIGH,2026-08-31T14:26:54.660088+00:00
1247,2026-08-31T14:47:30.012943+00:00,2026-08-31,VZ,BREAKOUT,50.13,80.2,66.3,0.28,20.225468946275587,-2.364733607103563,PREFER-HIGH,2026-08-31T14:56:53.767433+00:00
1248,2026-08-31T14:53:24.014893+00:00,2026-08-31,COIN,BREAKOUT,181.25,77.2,58.0,0.49,24.290698009732584,-53.17736799257813,PREFER-HIGH,2026-08-31T14:56:53.867003+00:00
1249,2026-08-31T16:44:27.661297+00:00,2026-08-31,ARKK,BREAKOUT,85.01,71.6,58.1,0.65,25.455223769297632,-8.040638214156028,PREFER-HIGH,2026-08-31T16:56:58.287216+00:00
1250,2026-08-31T16:50:22.611136+00:00,2026-08-31,NET,BREAKOUT,304.26,59.4,55.9,0.3,20.59555936746573,-7.753225202541142,PREFER-HIGH,2026-08-31T16:56:58.392687+00:00
1251,2026-08-31T18:14:21.684635+00:00,2026-08-31,ORCL,BREAKOUT,150.48,69.1,55.7,0.36,15.396360938708638,-54.183291557906024,PREFER-HIGH,2026-08-31T18:26:52.884819+00:00
1252,2026-08-31T19:26:29.538790+00:00,2026-08-31,VLO,BREAKOUT,359.68,82.9,71.1,0.55,31.090660179805486,0.0,PREFER-MID,2026-08-31T19:26:53.797318+00:00
1253,2026-08-31T19:26:36.834293+00:00,2026-08-31,XLV,BREAKOUT,170.76,56.8,56.0,0.58,29.236517336359846,-2.806234563590624,PREFER-HIGH,2026-08-31T19:26:53.889624+00:00
1254,2026-09-01T13:30:25.113127+00:00,2026-09-01,KO,BREAKOUT,89.6,62.2,57.1,0.02,27.84449127936794,-3.6090876964046634,PREFER-HIGH,2026-09-01T13:35:02.428267+00:00
1255,2026-09-01T13:33:27.938022+00:00,2026-09-01,XLV,BREAKOUT,173.43,72.2,61.3,0.04,28.57196969315612,-2.925773909345696,PREFER-HIGH,2026-09-01T13:35:02.550715+00:00
